date,kind,content,solution
원동기(동력발생장치) 기타,2024-11-04 ~ ,저압 EGR 밸브 불량으로 배출가스가 정해진 규정치보다 초과될 수 있는 가능성에 따른 리콜 ,저압 EGR 밸브 교체 
기타장치 기타,2024-11-04 ~ ,계기판 소프트웨어 설계 오류로 인해 초기 시동 시 간헐적으로 계기판 부팅이 되지 않아 계기판 이미지가 표출되지 았을 수 있어 안전기준을 만족하지 못함이 확인됨에 따른 리콜 ,1) 무선 OTA를 통한 계기판 제어기 소프트웨어 업데이트 2) 서비스센터 및 서비스협력사에서 계기판 소프트웨어를 업데이트 받을 수 있음 
조향장치 기타,2024-10-31 ~ ,"보조 조향 토크 센서의 일부 기능이 잘못 설정되었을 수 있으며, 이런 경우 기본 조향 토크 센서가 정상 작동 될 때는 문제가 없지만, 기본 조향 토크 센서에 오류 또는 결함이 발생된 경우에는 조향 시 경고 없이 조향 휠에 좌우 진동이 발생될 수 있고, 이로 인해 조향력이 저하되어 사고가 발생될 수 있는 가능성에 따른 리콜 
",파워 조향 시스템 소프트웨어 업데이트 
조향장치 기타,2024-10-31 ~ ,"보조 조향 토크 센서의 일부 기능이 잘못 설정되었을 수 있으며, 이런 경우 기본 조향 토크센서가 정상 작동될 때는 문제가 없지만, 기본 조향 토크 센서에 오류 또는 결함이 발생된 경우에는 조향 시 경고없이 조향 휠에 좌우 진동이 발생될 수 있고, 이로 인해 조향력이 저하되어 사고가 발생될 수 있는 가능성에 따른 리콜  ",파워 조향 시스템 소프트웨어 업데이트 
원동기(동력발생장치) 기타,2024-10-31 ~ ,"배기 가스 터보차저에 연결되는 오일 압력 라인의 밴조 볼트 조임 불량으로 인해 오일이 누출될 수 있으며, 이로 인해 화재 위험이 높아질 수 있음이 확인됨에 따른 리콜 <대상차량별 생산일자>아록스(2848L): 2022.11.21~2023.11.07아록스(4053L): 2022.11.21~2023.11.07아록스(4151): 2022.11.21~2023.11.07악트로스(2651LS): 2022.11.21~2023.11.07악트로스(2653LS): 2022.11.21~2023.11.07",밴조 볼트를 37Nm로 재 조임 
원동기(동력발생장치) 기타,2024-10-31 ~ ,"고압펌프 내부 부품 내구성 부족으로 인해 밸브가 고착되어 고압이 지속적으로 형성될 수 있으며, 이런 경우 엔진경고등 점등 및 일부 차량에서 간헐적으로 주행 중 시동꺼짐 발생 가능성이 확인됨에 따른 리콜 <대상차량별 생산일자>아반떼N (CN7 N): 2021.01.16~2023.12.19벨로스터N (JS N): 2017.11.16~2022.07.14코나N (OS N): 2020.11.03~2022.11.24G70 (IK): 2017.03.27~2023.06.01",엔진제어장치(ECU) 소프트웨어 업데이트 실시 및 점검 후 필요 시 고압펌프 등 교환 
시계확보장치 기타,2024-10-30 ~ ,"제조불량으로 근거리장 감지 모듈(NFSM) 내의 두 실리콘 칩 사이에 열을 발산하는 부품이 누락되어 차량을 장시간 사용할 경우 과열로 인하여 3D 서라운드 카메라(후방카메라 포함) 이미지가 표시되지 않을 수 있으며, 이로 인해 운전자가 차량 뒤쪽의 물체나 보행자를 인지하지 못하고 충돌할 수 있는 위험 발생 가능성이 확인됨에 따른 리콜 <대상차량별 생산일자>더 뉴 레인지로버 스포츠 D360 : 2023.10.24더 뉴 레인지로버 P530 SWB : 2023.10.24더 뉴 레인지로버 P530 LWB : 2023.10.23레인지로버 이보크 P250 : 2023.10.17~2023.10.26",정상적인 근거리장 감지 모듈(NFSM) 교체 
차체/차대 기타,2024-10-30 ~ ,"차문걸쇠장치내의 PCB기판으로 수분이 유입될 수 있으며, 이런 경우 차문 걸쇠 장치와 도어 제어 유닛 사이 통신 불량으로 주행 중 차문이 열릴 수 있으며 이로 인해 탑승자 혹은 보행자의 안전에 영향을 줄 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>ID.4 82kWh: 2022.04.14~2023.05.24ID.4 210kW: 2024.07.30~2024.10.16ID.5 210kW: 2024.06.21~2024.08.02","도어 핸들 부품 교체 (국내 대상 차량의 도어 핸들 관련 소프트웨어는 최신 버전으로 확인되어, 사전안내문의 소프트웨어 업데이트는 불필요)"
연료장치 기타,2024-10-25 ~ ,"고전압 배터리 제조상 문제로 고전압 배터리 내부 단락이 발생할 수 있으며, 이런 경우 배터리가 과열되고 화재가 일어날 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>타이칸: 2021.09.23~2022.04.28타이칸 4S: 2020.11.09~2021.07.16",단락 발생 가능성이 있는 고전압 배터리 모듈을 교체함 
제동장치 기타,2024-10-25 ~ ,전자제어유압장치(HECU) 내부 전기적 합선에 의한 엔진룸 소손이 발생할 가능성이 확인됨에 따른 리콜 ,엔진룸 정션박스내 HECU 개선퓨즈 장착(합선 발생 시 전원 차단하여 소손 예방)
제동장치 기타,2024-10-25 ~ ,전자제어유압장치(HECU) 내부 전기적 합선에 의한 엔진룸 소손 발생 가능성에 따른 리콜 <대상차량별 생산일자>그랜드스타렉스(TQ): 2006.10.18~2014.10.31베라크루즈(EN): 2009.12.15~2014.10.31아슬란(AG): 2014.05.22~2015.01.22에쿠스(VI): 2012.07.25~2014.10.31,엔진룸 정션박스내 HECU 개선퓨즈 장착 (합선 발생 시 전원 차단하여 소손 예방)
원동기(동력발생장치) 기타,2024-10-23 ~ ,"엔진 오일필터 하우징의 제조불량으로 차량 운행 시 오일필터 하우징에 균열이 생겨 오일이 엔진으로 누유될 수 있으며, 이런 경우 고온의 엔진열에 의해 화재가 발생할 수 있는 가능성에 따른 리콜 ",엔진 오일필터 하우징 및 오일필터 교체 
승차 및 실내장치 기타,2024-10-23 ~ ,"MBUX 멀티미디어 시스템 소프트웨어 개발 공정 오류로 인하여 MBUX 멀티미디어 시스템과 주차 보조 제어 장치가 정상적으로 연동되지 않을 수 있으며, 이런 경우 주차 보조 제어 장치 기능이 영구적으로 비활성화될 수 있어 교차로 및 주차장에서 브레이크 자동 작동 기능이 활성화되지 않을 수 있고, 이로 인해 운전자가 보조 시스템에만 의존할 경우 충돌 위험이 증가될 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>E 220 d 4MATIC: 2023.03.30E 300 4MATIC: 2023.04.05~2023.05.08E 450 4MATIC: 2023.07.04~2023.07.26CLE 200: 2023.05.12~2023.08.31CLE 450 4MATIC: 2023.05.12~2023.09.08CLE 200: 2023.10.09~2023.10.20CLE 450 4MATIC: 2023.09.27~2023.10.27",MBUX 멀티미디어 시스템 소프트웨어 업데이트 
전기장치 기타,2024-10-23 ~ ,"변속기 배선 커넥터 체결 불량에 대하여 서비스센터에서 리콜 작업 중 변속기 배선 커넥터 점검 및 재작업 절차가 올바르게 이루어지지 않았을 수 있으며, 이로 인해 도로나 주변 환경의 물이 변속기 배선 커넥터에 유입되는 경우 전기 단락에 의한 화재의 위험을 배제할 수 없음이 확인됨에 따른 리콜 <대상차량별 생산일자>Mercedes-AMG E 53 4MATIC+: 2018.09.11~2022.03.15Mercedes-AMG E 53 4MATIC+ Coupe: 2019.09.10~2022.04.14Mercedes-AMG CLS 53 4MATIC+: 2018.04.05~2022.03.25Mercedes-AMG GT 43 4MATIC+: 2018.08.06~2022.04.19Mercedes-AMG GT 53 4MATIC+: 2019.10.15~2020.08.19",일체형 변속기 배선으로 교체 
기타장치 기타,2024-10-23 ~ ,"문서화 작업 오류로 인하여 자기 인증 시 제원 통보된 너비 수치가 잘못 제출되어 실제 차량 제원과 차이가 있을 수 있는 가능성에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차)에서 정하는 기준에 부적합한 것으로 확인되었으며, 결함 시정을 아니할 경우, 차량 검사 시에 부적합을 받을 수 있음)<대상차량별 생산일자>GLE 300 d 4MATIC: 2019.01.23~2020.09.24GLC 220 d 4MATIC Coupe: 2019.11.13~2020.08.17GLC 300 4MATIC Coupe: 2019.10.03~2020.06.16GLC 220 d 4MATIC: 2020.07.17~2020.11.23GLC 300 4MATIC: 2020.01.07~2021.10.18","차량 기술 데이터 책자 교체, 필요 시 자동차 등록증 재발급 (차량 제원의 너비 수치는 차량 옵션에 따라 다를 수 있으며, 제원 정정 시 시스템에 병기로 기록됩니다. 재발급되는 등록증에는 기본 수치만 표시되므로. 모든 차량의 등록증의 재발급이 필요하지 않을 수 있습니다.)"
차체/차대 기타,2024-10-22 ~ ,"생산 과정의 오류로 엔진을 지지하기 위한 엔진 마운트와 차체(차대) 연결부의 고정 나사가 규정된 토크로 체결되지 않았을 수 있으며, 이로 인해 엔진 마운트와 차체(차대) 연결부가 느슨해질 경우 전방 추돌로 인한 사고 발생 시 차량 전면부 손상이 증가되어 탑승자 부상 위험이 증가하고, 주행 중 연결부 고정 나사가 이탈될 경우 후방 주행 차량의 안전 운행에 영향을 끼칠 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>BMW 220i Active Tourer: 2023.04.26BMW 218d Active Tourer: 2024.07.09MINI Countryman S ALL4: 2024.03.15",엔진 마운트와 차체(차대) 연결부의 고정 나사를 규정된 토크로 체결함 
조향장치 기타,2024-10-22 ~ ,"부품 생산 공정의 오류로 인하여 조향축 더블 유니버셜 조인트의 강성이 감소되어 조립되었을 수 있으며, 이런 경우 특정 조향 동작 시(예를 들어, 최대 조향각 이상 강한 힘으로 조향한 경우, 미시동 상태에서 조향한 경우) 손상될 수 있음. 아울러 조향축에서 소음이 발생하고, 조향축이 흔들릴 경우 사고의 위험이 확인됨에 따른 리콜 <대상차량별 생산일자>BMW 523d xDrive: 2024.06.18~2024.09.03BMW 530e xDrive Sedan: 2024.06.20~2024.09.04BMW 530i xDrive: 2024.06.17~2024.09.04BMW 550e xDrive Sedan: 2024.06.27~2024.09.03BMW 740d xDrive: 2024.06.17~2024.09.02BMW 740i xDrive: 2024.06.17~2024.09.04BMW 750e xDrive: 2024.06.17~2024.09.03BMW i5 eDrive40: 2024.06.25~2024.09.04BMW i5 M60 xDrive: 2024.06.27~2024.09.03BMW i5 xDrive40 Sedan: 2024.06.17~2024.07.25BMW i7 eDrive50: 2024.06.19~2024.09.03BMW i7 M70 xDrive: 2024.07.16~2024.08.27BMW i7 xDrive60: 2024.06.17~2024.08.01BMW M5 Sedan: 2024.07.04~2024.07.15",정상적으로 생산된 더블 유니버셜 조인트로 교체함 
제동장치 기타,2024-10-22 ~ ,"부품 생산 공정의 오류로 인하여 통합제동장치에 장착된 서보모터의 축이 규정된 사양에 따라 용접되지 않았을 수 있으며, 이로 인해 순간적으로 강한 제동으로 인해 서보모터 축의 용접부위가 파손될 경우 안전 모드 전환 및 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되며, 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있고 제동거리가 길어질 수 있음, 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>BMW 520i: 2024.04.03~2024.06.25BMW 523d: 2024.05.17BMW 530e: 2024.06.05~2024.06.25BMW 530i xDrive: 2024.04.23~2024.06.28BMW 740i: 2022.10.21~2022.12.13BMW 740i xDrive: 2023.08.23~2024.06.13BMW 750e xDrive: 2024.06.11BMW i5 eDrive40: 2024.07.03BMW iX1 xDrive30: 2024.04.10~2024.06.13BMW iX2 eDrive20: 2024.05.02~2024.05.06BMW X1 xDrive20i: 2024.04.26~2024.06.12BMW X2 xDrive20i: 2024.06.07BMW X5 xDrive30d: 2024.09.08BMW X5 xDrive40i: 2023.06.02~2024.09.06BMW X5 xDrive50e: 2024.05.08~2024.05.21BMW X6 xDrive40i M Sport: 2023.10.10~2024.08.04BMW X7 M60i xDrive: 2023.07.17~2024.07.29BMW X7 xDrive40d: 2023.07.13~2024.05.10BMW X7 xDrive40i: 2022.08.30~2024.08.04MINI Cooper S: 2024.05.07~2024.06.21MINI Countryman E: 2024.04.25~2024.06.11MINI Countryman S ALL4: 2024.05.29~2024.06.14MINI Countryman SE ALL4: 2024.05.07~2024.06.28",정상적으로 생산된 통합제동장치로 교체함 
제동장치 기타,2024-10-22 ~ ,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 신호 장애가 발생하면 안전모드로 전환되나, 현행 소프트웨어로는 이상을 사전에 발견하지 못할 수 있으며 이로 인해 신호 장애가 발생한 경우 서보 모터 위치센서가 정상 작동하지 않아 안전모드로 전환되면 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고, 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며, 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성에 따른 리콜 ",진단 강화 로직이(*OTA 실시간 진단) 적용된 소프트웨어로 업데이트하여 이상 징후를 사전에 감지하고 고객에게 안내함 (참고: 소프트웨어 설치 완료 후 향우 이상 발견 시 통합제동장치 무상 교체)
동력전달장치 기타,2024-10-21 ~ ,"파워트레인 컨트롤 유닛 소프트웨어 정보 전송에 오류가 발생할 수 있으며, 이런 경우 마지막 주행 사이클에 대한 OBD 진단 정보(예: 고장 코드)가 저장되지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-001-1886)으로 문의하여 주시기 바랍니다.>",파워트레인 컨트롤 유닛 (PTCU) 소프트웨어 업데이트 
전기장치 기타,2024-10-18 ~ ,"전압 레귤레이터 배선이 크랭크 케이스에 간섭되어 마모나 손상이 발생될 수 있으며, 배선과 크랭크 케이스의 간섭이 지속되어 배선 피복이 마모되어 도체가 노출되는 경우 메인 퓨즈 단락으로 운전자에게 사전 경고없이 차량 전력공급 중단으로 인한 동력 손실로 주행 중 사고 발생 가능성이 있음에 따른 리콜 ","전압 레귤레이터 배선의 간섭 및 손상 여부를 점검하여, 배선이 크랭크케이스에 간섭되지 않도록 배선의 고정점을 추가하고, 만약 배선이 손상되었다면 리콜 키트(품번:91500119)를 사용하여 배선 수리 "
주행장치 기타,2024-10-18 ~ ,"타이어 제조사의 제조 과정 중 벨트(스틸코드)와 카커스(나이론 코드) 사이의 고무층이 얇아질 수 있으며, 차량을 계속 사용할 경우 타이어의 트레드 일부가 분리되고 이상 진동이 발생하여 주행 안정성에 영향을 끼칠 수 있음이 확인됨에 따른 리콜",뒤 타이어 교체 
창유리 기타,2024-10-18 ~ ,잘못된 소프트웨어 로직 설정으로 국내안전기준 (자동차규칙) 제34조(창유리 등) 제5항을 준수하지 못함이 확인됨에 따른 리콜 ,올바른 도어 컨트롤 모듈 소프트웨어로 업데이트 
조향장치 기타,2024-10-18 ~ ,"조향축(1축, 2축) 스티어링 너클 스탑볼트에 체결되는 와셔 개수 설정 오류로 차량의 최소회전반경이 12미터를 초과할 수 있는 가능성에 따른 리콜",스티어링 너클 스탑볼트에 체결되는 와셔 개수 조정 
완충장치 기타,2024-10-18 ~ ,"설계상 문제(재료)로 전/후방 트레일링암에 연결된 볼 조인트의 내구성 부족으로 인해 시간이 지남에 따라 파손될 수 있으며, 이런 경우 차량 조향 및 자세 제어가 제대로 되지 않아 안전에 지장을 줄 수 있는 가능성에 따른 리콜 ",개선된 전/후방 트레일링암으로 교체 
연료장치 기타,2024-10-17 ~ ,"일부 연료탱크 중 제조 및 가공 공정에서 발생한 금속 가루가 충분히 제거되지 않았을 수 있으며, 이런 경우 연료 탱크 내부의 잔여 금속 가루 잔여량에 따라 연료펌프가 막힐 수 있으며, 극히 드문 경우 시동을 걸 수 없거나 주행 중 시동이 꺼질 수 있는 가능성에 따른 리콜 ","점검 후 연료 탱크 내부 세척, 필요 시 연료펌프 교체 "
전기장치 기타,2024-10-17 ~ ,"개선된 전자식 시동모터 제어기를 장착하는 과정에서 손상이 발생하여 시동모터 제어기 내부로의 습기가 유입될 수 있고, 수리 과정에서 기존 시동모터 제어기 브라켓의 부적절한 체결로 인해 배선이 손상될 수 있음. 습기 유입으로 인한 부식 및 배선 손상으로 인한 누설 전류로 이상 발열이 발생하는 경우 연기 또는 화재가 발생할 수 있는 가능성에 따른 리콜 ",개선된 기계식 시동모터 제어기(브라켓 일체형)로 교체함 
동력전달장치 기타,2024-10-12 ~ ,"감속기 플랜지 샤프트의 열처리 공정에서 고주파 장비의 오사용으로 부품의 표면 강도가 기준보다 낮게 형성될 수 있으며, 이로 인해 주행 중 파손될 수 있음. 차량의 사용 중 해당 감속기 플랜지 샤프트가 파손되는 경우 차량 구동축에 동력이 전달되지 않아 차량이 정지되고 안전운행에 지장을 줄 수 있는 가능성이 확인됨에 따른 리콜 ",대상 자동차에 대해서 감속기 플랜지 샤프트를 탈거하고 신규부품으로 교체 
차체/차대 기타,2024-10-11 ~ ,"공급업체의 생산 공정 오류로 전방 서브프레임 용접에 사용되는 용접 재료가 사양에 맞지 않을 수 있으며, 이런 경우 용접 재료로 인하여 차량 운행 기간 동안 운전자의 주행 특성, 도로 상태, 차량 하중과 같은 외부 요인에 의해 서브프레임 용접 이음새 부위에서 균열이 발생할 수 있음. 이 경우 차량의 주행 안정성을 저하시켜 충돌 위험이 증가될 수 있는 가능성에 따른 리콜  ",정상적으로 용접된 전방 서브프레임으로 교체 
연료장치 기타,2024-10-11 ~ ,"연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있으며, 이로 인해 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않는 경우 연료 공급이 중단되어 시동이 꺼져 사고의 위험이 증가할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>Mercedes.AMG E 53 4MATIC+: 2021.10.07~2022.11.30S 450 4MATIC: 2022.08.05~2022.12.12Mercedes.AMG SL 63 4MATIC+: 2022.09.08GLC 300 4MATIC: 2022.10.20~2022.11.11Mercedes.AMG CLS 53 4MATIC+: 2021.10.05~2022.11.30Mercedes.AMG GT 43 4MATIC+: 2021.10.01~2022.11.30Mercedes.AMG G 63: 2022.08.17~2023.01.31",연료펌프 교체 
실내안전장치 기타,2024-10-11 ~ ,조수석 시트쿠션 내부에 승객 탑승을 감지하는 센서 설치 누락으로 조수석 승객이 좌석안전띠를 착용하지 않았음에도 좌석안전띠미착용 경고장치가 작동하지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>FH 트랙터(FH62TT3A): 2024.05.20~2024.07.03FH 트랙터(FH64T3A): 2024.05.20~2024.06.10,조수석 시트쿠션(승객탑승 감지센서 내장) 교체 
원동기(동력발생장치) 기타,2024-10-11 ~ ,"유로6c 도입에 따라 환경 규제가 강화되어 납을 제거한 베어링(lead-free bearing)을 MAN D26 엔진의 크랭크샤프트 하부 베어링에 장착함. 납이 제거된 베어링은 먼지 및 이물질에 의하여 심하게 오염되었을 경우 베어링이 소착될 수 있으며, 이로 인해 화재가 발생할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>TGS 카고(TGS 26.420 6X4 BB): 2017.09.21~2018.08.25TGS 카고(TGS 26.460 6X4 BL): 2017.03.22~2018.09.19TGS 카고(TGS 28.420 6X2.2 BL): 2018.10.15~2018.10.30TGS 카고(TGS 35.460 8X4.4 BL): 2017.05.12~2017.06.01TGS 카고(TGS 35.500 8X4.4 BL): 2017.06.28~2018.12.05TGS 카고(TGS 44.460 10X4.6 BL): 2017.03.27~2017.05.29TGS 카고(TGS 44.500 10X4.6 BL): 2017.03.02~2018.10.02TGS 트랙터(TGX 28.460 6X2.2 BLS): 2017.02.09~2018.09.19TGS 트랙터(TGX 28.500 6X2.2 BLS): 2017.02.24~2019.07.19",개선된 메인베어링으로 교체 
전기장치 기타,2024-10-11 ~ ,"특정 조건의 정면 충돌 사고 시 충돌센서 전기배선 단락으로 전기적 과부화로 인해 에어백 제어장치 내부 소자가 손상될 수 있으며, 이런 경우 특정 조건의 정면 충돌 사고 발생 시 에어백이 전개되지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>포르테(TD): 2008.08.14~2013.03.18포르테 하이브리드(TD HEV): 2009.07.29~2013.02.07K5(TF): 2010.05.04~2011.06.20K5(TF HEV): 2011.05.03~2013.11.25",에어백 제어장치 전기배선 KIT 장착 
전기장치 기타,2024-10-11 ~ ,"특정 조건의 정면 충돌 사고 시 충돌센서 전기배선 단락으로 전기적 과부화로 인한 에어백 제어장치(ACU) 내부 소자가 손상될 수 있으며, 이런 경우 특정 조건의 정면 충돌사고 발생 시 에어백이 전개되지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>쏘나타 (YF): 2009.03.11~2012.01.06 (미조치)쏘나타 (YF): 2009.08.27~2012.01.05 (기조치)쏘나타 하이브리드 (YF HEV): 2011.02.15~2014.10.31 (미조치)쏘나타 하이브리드 (YF HEV): 2011.05.13~2014.10.31 (기조치)","에어백 제어장치(ACU) 전기배선 KIT 장착 <단, 일부 차량의 경우 이미 리콜에 해당하는 조치가 완료되어 추가 조치는 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-600-6000)으로 문의하여 주시기 바랍니다.>"
연료장치 기타,2024-10-08 ~ ,"고전압 배터리 하우징의 밀봉(Sealing)이 불충분하게 되었을 수 있으며, 이로 인해 고전압 배터리 하우징을 통해 고전압 배터리에 물이 유입되어 고전압 배터리가 손상될 경우 체크 컨트롤 메시지(*계속 주행 가능, 고압시스템, 후속 손상을 방지하기 위해 가까운 서비스센터에 점검을 의뢰하십시오)가 표시되고 고전압이 차단되어 차량이 멈출 수 있으며, 배터리가 단락되었을 경우 화재가 발생할 수 있는 가능성에 따른 리콜 ","고전압 배터리 상태 및 고전압 배터리 하우징의 밀봉상태를 점검하고, 밀봉이 제대로 되지 않았을 경우 고전압 배터리 관련 구성품을 교체함 "
제동장치 기타,2024-10-08 ~ ,"통합제동장치에 장착된 서브모터 위치센서의 품질 결함으로 신호 장애가 발생하면 안전모드로 전환되나, 현행 소프트웨어로는 이상을 사전에 발견하지 못할 수 있으며, 이로인해 신호 장애가 발생한 경우 서보 모터 위치센서가 정상 작동하지 않아 안전모드로 전환될 경우, 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며, 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>BMW 520i: 2024.02.28~2024.02.29BMW 523d: 2024.02.28BMW 530e: 2024.02.28~2024.02.29 BMW 530i xDrive: 2024.02.28~2024.02.29BMW 740d xDrive: 2024.02.28~2024.02.29 BMW 740i xDrive: 2024.02.28~2024.02.29 BMW X5 M60i xDrive: 2024.02.10~2024.02.16 BMW X5 xDrive30d: 2024.02.14~2024.08.31BMW X5 xDrive40d: 2024.09.03~2024.09.04 BMW X5 xDrive40i: 2024.02.16~2024.09.03 BMW X5 xDrive40i: 2024.08.11BMW X5 xDrive50e: 2024.08.17~2024.09.04 BMW X6 M Competition: 2024.02.15BMW X6 M60i xDrive: 2024.08.27BMW X6 xDrive30d M Sport: 2024.02.14~2024.08.27BMW X6 xDrive40d: 2024.02.14~2024.02.28 BMW X6 xDrive40i M Sport: 2024.02.13~2024.08.29 BMW X7 xDrive40d: 2024.02.16~2024.09.04 BMW X7 xDrive40i: 2024.02.12~2024.09.04 BMW XM: 2024.02.20~2024.02.27 BMW XM Label: 2024.02.28MINI Cooper S: 2024.06.24MINI Countryman E: 2024.02.28MINI Countryman S ALL4: 2024.03.06",진단 강화 로직이(OTA 실시간 진단) 적용된 소프트웨어로 업데이트하여 이상 징후를 사전에 감지하고 고객에게 안내함 (참고: 소프트웨어 설치 완료 후 향후 이상 발견 시 통합제동장치 무상 교체)
제동장치 기타,2024-10-08 ~ ,"전자식 브레이크 컨트롤 모듈 소프트웨어 오류로 인하여 제동액 부족 시 계기판 상에 제동장치 경고등이 점등되지 않을 수 있으며, 이런 경우 브레이크 페달 성능이 저하됨을 인지하지 못하여 충돌의 위험성이 높아질 수 있는 가능성에 따른 리콜 







",전자식 브레이크 컨트롤 모듈 소프트웨어 업데이트 
실내안전장치 기타,2024-10-08 ~ ,"안전벨트 버클의 조립 불량이 발생하였고, 검수 과정에서 검출되지 않아 차량 충돌 시 앞좌석(운전석/조수석) 안전벨트 버클이 고정부위로부터 이탈되는 경우 승객을 보호하지 못하여 안전제 지장을 줄 수 있는 가능성이 확인됨에 따른 리콜 ",?안전벨트 버클 재조립 
제동장치 기타,2024-10-08 ~ ,"전자식 브레이크 컨트롤 모듈 소프트웨어 오류로 인하여 제동액 누출 시 계기판 상에 제동장치 경고등이 점등되지 않을 수 있으며, 이런 경우 브레이크 페달 성능이 저하됨을 인지하지 못하여 충돌의 위험성이 높아질 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>타호 (Tahoe): 2022.11.16~2022.11.23GMC 시에라 (Sierra): 2023.01.27~2023.03.24",전자식 브레이크 컨트롤 모듈 소프트웨어 업데이트 
원동기(동력발생장치) 기타,2024-10-07 ~ ,"SCR 목표 효율을 증가시킬 수 있는 새로운 소프트웨어가 적용되어 있지 않을 수 있으며, 이런 경우 배기가스 배출량이 개선되지 않을 수 있는 가능성에 따른 리콜<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-001-1886)으로 문의하여 주시기 바랍니다.>","엔진 컨트롤 유닛 소프트웨어 업데이트, 필요 시 NOx 센서 교체 "
원동기(동력발생장치) 기타,2024-10-07 ~ ,"NOx 센서가 배기가스의 성분을 올바르게 감지하지 못할 수 있으며, 이런 경우 배기가스 배출량이 기준치를 초과할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-001-1886)으로 문의하여 주시기 바랍니다.>","SCR 촉매 장치의 상류 및 하류 NOx 센서 점검, 필요 시 교체 "
제동장치 기타,2024-10-07 ~ ,"통합형 전자식 브레이크(IEB) 제어기 소프트웨어 설계 오류가 있을 수 있으며, 이런 경우 원격 스마트 주차 보조(RAPA) 기능 작동 후 해제 시 간헐적으로 즉시 정지되지 않아 안전기준을 만족하지 못할 수 있음이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제89조 제2항, 별표 6의 2 부적합할 수 있음)",통합형 전자식 브레이크(IEB) 제어기 소프트웨어 업데이트 
